Kp,Ki,Kd,Perf
9.685603706850947958e+01,1.200955912735981457e+01,3.886990188314098926e+00,8.866863880335456471e+00
2.230701339188789234e+01,7.201329747191380193e+00,4.395589162290497676e+00,8.626696637549573055e+00
1.617703667195397941e+02,8.606148744781161319e-01,1.377884565645669568e+01,9.373209103594616565e+00
1.136399386294466041e+02,1.368138944605299123e+01,5.105819847156101154e+00,9.289492608859346134e+00
5.983916112981737712e+01,1.990967852472951449e+01,2.379774207325835533e+01,8.424343119208904440e+00
1.703737297885495749e+01,1.345039591060112727e+01,2.469481405735187707e+01,8.743888027509392202e+00
9.031982319505891610e+01,3.095129842682351473e+00,4.590234434024405630e+01,3.973890397548385067e+01
1.118119590740438696e+02,1.361176711721937593e+01,3.557436843708480012e+01,8.467949205757619779e+00
8.585953203277593104e+01,1.972604807559834939e+01,2.705965967953650164e+01,9.991292259864563263e+00
1.244819957330024209e+02,7.510222503456391863e+00,4.150933854431759329e+01,1.538085631886594129e+01
1.171991631670496474e+02,1.047131742428901724e+00,2.070380834434863004e+01,9.186811895045810417e+00
6.058957931032153255e+01,1.723776025564025360e+01,3.663841805029552745e+01,8.665272126013904952e+00
1.843596860980070460e+02,2.773014599117495926e-01,2.783095660948189831e+01,1.087238273292340729e+01
4.324253004008922829e+01,2.698178710579535178e-01,6.070081832547796985e+00,8.303258768470797690e+00
1.721827757855613186e+02,8.510935376024903576e+00,4.699828546386709860e+01,6.246373925780096670e+01
3.788101228474171478e+01,2.525253188441602958e+00,4.472107248943974867e+01,1.949446723436408391e+01
1.090896215440102850e+02,1.926062454200899410e+01,3.298706857267208647e+01,1.075060629292961423e+01
1.602853720336911181e+02,1.773195568074796835e+00,5.668202628012308786e+00,9.680435559421558978e+00
1.142030345526393376e+02,2.142474812758243807e-01,3.106213815364593955e+01,1.084839812474340981e+01
1.876306926415672081e+02,1.904976389306082751e+01,3.909079247863637363e+01,2.505667912700950950e+01
7.344533110337371795e+01,3.868404952219766102e+00,2.574308671802573656e+01,9.587438712840851807e+00
1.094475683206543124e+02,1.307395832986599338e+01,3.586895979588245353e+01,1.101630413365182015e+01
1.847488607020629559e+02,1.466893090436617264e+01,1.379624042940268325e+01,9.683673397203094169e+00
8.276721443753967833e+01,9.914211107185948890e+00,3.998351660171579169e+01,9.229611968579686021e+00
1.672711354968100466e+02,8.306183420416761720e+00,8.766983725079269263e+00,9.595868016778160481e+00
1.263163897131845630e+02,5.359611419222998663e+00,4.591599671587010079e+01,3.133435083321630188e+01
4.215298666657744064e+01,9.709720546853530365e+00,1.279039683630224822e+01,8.377656393024595971e+00
9.491241904015879527e+01,7.078674529873993926e+00,4.922307616647343309e+01,6.616604265624692971e+01
9.949148858680646867e+01,1.778995056252912832e+01,4.637434636310467795e+01,3.967432712832401620e+01
1.019125963785962057e+02,2.256455891110378253e+00,4.544282730238409584e+01,1.171673979214992123e+01
1.011184611686007315e+02,1.060523772321912972e+00,1.953760770089920840e+01,8.792035345483238729e+00
1.058071435231072286e+02,1.709196049861572142e-01,2.311031715155731803e+01,9.403113892534385343e+00
4.228615658317502124e+01,6.426833573012546985e-01,7.817004024883555946e-01,6.082298926333908007e+00
4.381791039406846267e+01,1.868126561213289349e+01,2.048297435343443595e+01,8.304314685686360775e+00
1.158353446623881240e+02,1.015391568598482763e+01,4.392324251795761114e+01,1.311660879302503346e+01
4.075788533185214391e+01,1.932682697704651886e+01,5.123677057612130437e-01,7.572668050351234470e+00
9.383493873961967324e+01,8.152466299905537284e+00,4.848759349585426293e+01,6.697454175666368315e+01
6.688422755908513295e+01,1.136473945024099486e+01,2.450358597415601736e+01,8.935888534352022461e+00
1.848182523455536952e+01,1.609794428756916318e+01,3.145589093169270356e+01,8.599763175570405593e+00
6.802753746973314719e+01,6.157790916585534902e+00,1.386550100477544412e+01,8.014513671844943232e+00
7.346122987897379630e+01,1.141291813475844208e+01,4.263681104167106639e+01,1.824728689846919849e+01
1.812777648361996796e+01,1.020371993366319607e+01,1.804626131883110318e+01,8.837609102538763750e+00
1.559526365070603333e+02,1.907443674961302449e+01,3.292133677960939764e+01,9.750138090300948690e+00
1.570781658109707735e+01,1.665871628672837090e+01,1.910704153006622619e+01,8.678957681093141474e+00
1.828299680234406424e+02,1.563771518213454836e+00,1.564845744120152915e+01,9.685427137676093423e+00
1.782915096628325387e+02,1.650689270714828538e+01,3.961202273127627649e+01,3.100630291147830064e+01
1.535780887016303495e+02,5.720882047288675665e+00,4.450156572805475719e+01,4.447659568226997351e+01
1.373521943719621845e+02,1.738140694615859516e+01,1.927746775456144945e+01,9.295802740632968408e+00
3.113861388150988674e+01,1.356275421099896228e+01,1.484892822594644457e+01,8.487535262212627885e+00
1.718806656011766165e+02,9.569457109851455812e+00,1.697267592818783655e+01,9.566949432468105030e+00
1.132302454408833086e+02,1.044272132364799432e+01,4.352323009760835504e+01,2.041325985163702228e+01
8.045008582115043794e+01,6.054227404002032742e-01,2.174859960606423215e+01,8.706491049947823413e+00
1.315347157232310167e+02,1.059283704941277904e+01,1.779898595885839185e+01,9.087104367214216438e+00
1.601720274081224886e+02,1.279233526253063680e+01,4.916493343219678991e+01,3.684477813713351679e+01
1.944053714616202342e+02,9.048628247376608869e+00,3.581058529935088330e+00,8.960626084898901667e+00
1.904881828673525774e+02,4.022732966846122693e+00,4.806149902040073130e+01,6.657749002002917393e+01
3.490151155922171711e+01,8.982774093186902675e+00,4.496885052182095421e+01,1.323854567385849279e+01
7.261127671598509892e+01,4.773690223059174897e+00,2.544419581767787975e+01,9.455865742112052885e+00
5.063548927434575120e+01,5.498824836915758851e+00,1.206202101609077459e+01,7.754750940548341021e+00
1.836207784954615647e+02,1.876011861838638595e+01,2.295470401520108794e+01,1.027671162769482471e+01
1.945484801624383806e+02,1.673836500478122602e+01,3.562004390119358277e+01,1.154507942283631650e+01
1.626089284366893821e+02,7.332208100417845209e+00,3.657753993641620127e+01,1.052915626683232198e+01
1.098903606287249914e+02,1.578443030069370856e+01,8.545026157817497747e+00,9.090462872598086719e+00
8.894511424814415079e+01,5.300134234871693550e+00,9.784785346339964107e+00,8.762732246230049427e+00
1.880514457673266975e+02,1.216710532088431052e+01,1.177205694632372257e+01,9.682471220724254479e+00
1.563419639509514241e+02,1.148016837654048672e+01,1.644088177496105629e+01,9.406789181653055110e+00
4.429091853324591455e+01,7.738899477082108902e+00,4.762039566239872102e+01,4.850297106057119834e+01
1.338590217986951245e+02,1.585813642059691375e+01,3.945548476846497721e+01,2.156470946260347787e+01
1.050396104254465541e+02,4.364175721616470049e-01,4.342159782568172943e+01,2.931430595231232772e+01
1.163163832072928869e+02,4.521272923902037277e+00,3.694811450913786643e+01,8.764693467593891896e+00
6.552516643992188961e+01,4.700850902039723778e+00,4.880184262877383361e+01,6.891455418296635571e+01
