Kp,Ki,Kd,Perf
1.966500070813962964e+02,7.957728399325545432e+00,3.363566320440294533e+01,9.915699669287400653e+00
8.522129441693495266e+01,5.267519720519180382e+00,9.179327701315243004e+00,8.791106782508718354e+00
7.528381012162707009e+01,5.298938463712739022e+00,3.299418997983830337e+01,1.099761351249447650e+01
1.819240278404034825e+02,1.299664002450000666e+01,4.174222961667732790e+01,3.213854276869737703e+01
1.409370121851865179e+02,1.799134286934766891e+01,2.216336615602001459e+01,9.806258411395585739e+00
2.734272051460504827e+01,3.748775971513362837e+00,1.479761868971257721e+00,8.004271522600534539e+00
1.544444026412606341e+01,1.430895322025693162e+01,4.199513694325059276e+01,1.020343207896840632e+01
9.757821326126423855e+01,1.252903655374555925e+01,3.778719935447573874e+01,1.090121630072134806e+01
5.872037412107366805e+01,7.344948666075921118e+00,1.603163415191357188e+01,7.663866532589616476e+00
8.477423182687203962e+01,2.120414807702253324e+00,4.753581651765983196e+01,3.547757394094350047e+01
